,000000427,000000445,000000448,000000467,000000468,000000469,000000475,000000477,000000479,000000483,000000488,000000498,000000503,000000504,000000511,000000526,000000528,000000532,000000556,000000557,000000560,000000563,000000580,000000713,000000965,000001025,000001034,000001037,000001044,000001056,000001057,000001061,000001068,000002178,000002291,000004355,000004395,000004397,000004405,000004412,000004416,000009615,000010395,000011835,000012937,000012938,000012944,000012945,000012948,000012951,000012952,000012955,000012959,000012961,000012963,000012964,000022151,000023511,000023512,000023531,000023534,000023553,000023558,000023560,000023564,000023565,000023566,000023567,000023568,000023569,000023570,000023572,000023573,000023591,000023594,000023595,000023596,000023597,000023598,000023599,000023600,000023601,000023631,000023632,000023635,000023641,000023642,000023643,000023651,000023652,000023653,000023673,000028513,000030054,000030055,000030056,000030057,000030058,000030059,000030060,000030061,000030062,000030063,000030064,000030065,000030066,000030067,000030068,000030069,000030070,000030071,000030074,000030076,000030077,000030078,000030079,000030080,000030081,000030082,000030083,000030084,000030094,000030095,000030096,000030097,000030098,000030099,000030102,000030305,000030309,000030357,000030369,000030400,000030494,000030573,000031665,000031722,000031729,000031734,000031735,000031747,000031818,000031851
25763,0,2,1,1,1,2,1,1,0,1,1,0,2,2,0,1,1,1,1,2,2,0,1,1,1,1,0,1,0,1,1,0,1,1,0,2,1,1,2,0,2,2,0,1,1,1,0,2,1,1,0,1,1,2,0,0,1,1,1,1,1,1,1,1,1,2,2,2,0,2,2,0,1,2,2,0,2,2,2,2,2,2,2,2,0,1,2,0,2,2,2,2,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0,2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0
25764,0,2,1,1,1,2,1,1,0,1,1,0,2,2,0,1,1,1,1,2,2,0,1,1,1,1,0,1,2,1,1,0,1,1,0,2,1,1,2,0,2,2,0,1,1,1,0,2,1,1,0,1,1,2,0,0,1,1,1,1,1,1,1,1,1,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,0,1,2,0,2,2,2,2,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,0,2,0,2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0
25765,0,1,2,2,2,2,2,2,0,2,2,0,1,1,0,2,2,2,2,1,1,0,2,2,2,2,0,2,1,2,2,0,2,2,0,1,2,2,1,0,1,1,0,2,2,2,0,1,2,2,0,2,2,1,0,0,2,2,2,2,2,2,2,2,2,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,2,1,0,1,1,1,1,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0
25766,0,1,2,2,2,1,2,2,0,2,2,0,1,1,0,2,2,2,2,1,0,0,2,2,2,2,0,2,1,2,2,0,2,2,0,1,2,2,1,0,1,1,0,2,2,2,0,1,2,2,1,2,2,1,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,2,1,0,1,1,1,1,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0
25767,0,1,2,2,2,1,2,2,0,2,2,0,1,1,0,2,2,2,2,1,0,0,2,2,2,0,0,2,1,2,2,0,2,2,0,1,2,2,1,0,1,1,0,2,2,2,0,1,2,2,1,2,2,1,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,2,1,0,1,1,1,1,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0
25768,0,2,1,1,1,2,1,1,0,1,1,0,2,2,0,1,1,1,1,2,0,0,1,1,1,1,0,1,2,1,1,0,1,1,0,2,1,1,2,0,2,2,0,1,1,1,0,2,1,1,0,1,1,2,0,0,1,1,1,1,1,1,1,1,1,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,0,1,0,0,2,2,2,2,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,2,2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0
25769,0,2,1,1,1,2,1,1,0,1,1,0,2,2,0,1,1,1,1,2,2,0,1,1,1,1,0,1,2,1,1,0,1,1,0,2,1,1,2,0,2,2,0,1,1,1,0,2,1,1,0,1,1,2,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,0,2,2,2,0,2,2,2,2,2,2,2,2,0,1,2,0,2,2,2,2,0,0,1,1,1,1,1,2,2,2,2,2,2,2,0,2,0,2,2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0
25770,0,1,2,2,2,1,2,2,0,2,2,0,1,1,0,2,2,2,2,1,0,0,2,2,2,2,0,2,1,2,2,0,2,2,0,1,2,2,1,0,1,1,0,2,2,2,0,1,2,2,0,2,2,1,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,2,1,0,1,1,1,1,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0
25771,0,1,2,2,2,1,2,2,0,2,2,0,1,1,0,2,2,2,2,1,1,0,2,2,2,2,0,2,1,2,2,0,2,2,0,1,2,2,1,0,1,1,0,2,2,2,0,1,2,2,1,2,2,1,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,2,1,0,1,1,1,1,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0
25772,0,1,2,2,2,1,2,2,0,2,2,0,1,1,0,2,2,2,2,1,1,0,2,2,2,2,0,2,1,2,2,0,2,2,0,1,2,2,1,0,1,1,0,2,2,2,0,1,2,2,1,2,2,1,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,2,1,0,1,1,1,1,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0
25773,0,2,1,1,1,2,1,1,0,1,1,0,2,2,0,1,1,1,1,2,2,0,1,1,1,1,0,1,2,1,1,0,1,1,0,2,1,1,2,0,2,2,0,1,1,1,0,2,1,1,0,1,1,2,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,0,1,2,0,2,2,2,2,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0
25774,0,1,2,2,2,1,2,2,0,2,2,0,1,1,0,2,2,2,2,1,0,0,2,2,2,2,0,2,1,2,2,0,2,2,0,1,2,2,1,0,1,1,0,2,2,2,0,1,2,2,0,2,2,1,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,2,1,0,1,1,1,1,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0
25775,0,1,2,2,0,1,2,2,0,2,2,0,1,1,0,2,2,2,2,1,1,0,2,2,2,2,0,2,1,2,2,0,2,2,0,1,2,2,1,0,1,1,0,2,2,2,0,1,2,2,0,2,2,1,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,2,1,0,1,1,1,1,0,0,2,2,2,2,2,1,1,1,1,1,1,1,0,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0
25776,0,2,1,1,1,2,1,1,0,1,1,0,2,2,0,1,1,1,1,2,2,0,1,1,1,1,0,1,2,1,1,0,1,1,0,2,1,1,2,0,2,2,0,1,1,1,0,2,1,1,0,1,1,2,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,0,1,2,0,2,2,2,2,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0
25777,0,1,2,2,2,1,2,2,0,2,2,0,1,1,0,2,2,2,2,1,1,0,2,2,2,2,0,2,1,2,2,0,2,2,0,1,2,2,1,0,1,1,0,2,2,2,0,1,2,2,1,2,2,1,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,2,1,0,1,1,1,1,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,2,1,2,0,2,2,0,0,0,0,0,0,0,0
25778,0,2,1,1,1,2,1,1,0,1,1,0,2,2,0,1,1,1,1,2,0,0,1,1,1,1,0,1,2,1,1,0,1,1,0,2,1,1,2,0,2,2,0,1,1,1,0,2,1,1,0,1,1,2,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,0,1,2,0,2,2,2,2,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,0,2,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0
25779,0,1,2,2,2,1,2,2,0,2,2,0,1,1,0,2,2,2,2,1,0,0,2,2,2,2,0,2,1,2,2,0,2,2,0,1,2,2,1,0,1,1,0,2,2,2,0,0,2,2,1,2,0,1,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,2,1,0,0,1,1,1,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,2,1,2,0,2,2,0,0,0,0,0,0,0,0
25780,0,2,1,1,1,2,1,1,0,1,1,0,2,2,0,1,1,1,1,2,0,0,1,1,1,1,0,1,2,1,1,0,1,1,0,2,1,1,2,0,2,2,0,1,1,1,0,2,1,1,0,1,1,2,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,0,1,0,0,0,2,2,2,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0
25781,0,2,1,1,1,2,1,1,0,1,1,0,2,2,0,1,1,1,1,0,0,0,1,1,1,1,0,1,2,1,1,0,1,1,0,2,1,1,2,0,2,2,0,1,1,1,0,2,1,1,0,1,0,2,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,0,1,2,0,2,2,2,2,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0
25782,0,1,2,2,2,1,2,2,0,2,2,0,1,1,0,2,2,2,2,1,0,0,2,2,2,2,0,2,1,2,2,0,2,2,0,1,2,2,1,0,1,1,0,2,2,2,0,0,2,2,1,2,2,1,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,2,0,0,1,1,1,1,0,0,2,2,2,2,2,1,1,1,1,1,1,1,3,0,1,1,1,1,0,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,2,1,2,0,2,2,0,0,0,0,0,0,0,0
25783,0,1,2,2,2,1,2,2,0,2,2,0,1,1,0,2,2,2,2,1,0,0,2,2,2,2,0,2,1,2,2,0,2,2,0,1,2,2,1,0,0,1,0,2,2,2,0,0,2,2,1,2,2,1,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,2,3,0,1,1,1,1,0,0,2,2,2,2,2,1,1,1,1,1,1,3,0,3,1,1,3,1,0,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,2,1,2,0,2,2,0,0,0,0,0,0,0,0
25784,0,2,1,1,1,2,1,1,0,1,1,0,2,2,0,1,1,1,1,2,0,0,1,1,1,1,0,1,2,1,1,0,1,1,0,2,1,1,2,0,2,2,0,1,1,1,0,2,1,1,0,1,1,2,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,0,1,2,0,2,2,2,2,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0
25785,0,1,2,2,2,1,2,2,0,2,2,0,1,1,0,2,2,2,2,1,0,0,2,2,2,2,0,2,1,2,2,0,2,2,0,1,2,2,1,0,1,1,0,2,2,2,0,1,2,2,1,2,2,1,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,2,1,0,1,1,1,1,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,2,1,2,0,2,2,0,0,0,0,0,0,0,0
25786,0,2,1,1,1,2,1,1,0,1,1,0,2,0,0,1,1,1,1,2,0,0,1,1,1,1,0,1,2,1,1,0,1,1,0,2,1,1,2,0,2,2,0,1,1,1,0,2,1,1,0,1,1,2,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,0,1,2,0,2,2,2,2,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0
25787,0,2,1,1,1,2,1,1,0,1,1,0,2,0,0,1,1,1,1,2,0,0,1,1,1,1,0,1,2,1,1,0,1,1,0,2,1,1,2,0,2,2,0,1,1,1,0,2,1,1,0,1,1,2,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0
25788,0,1,2,2,2,1,2,2,0,2,2,0,1,1,0,2,2,2,2,1,0,0,2,2,2,0,0,2,1,2,2,0,2,2,0,1,2,2,1,0,1,1,0,2,2,2,0,1,0,2,1,2,2,1,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0
25789,0,1,2,2,2,1,2,2,0,2,2,0,1,1,0,2,2,2,2,1,0,0,2,2,2,0,0,2,1,2,2,0,2,2,0,1,2,2,1,0,1,1,0,2,2,2,0,1,0,2,1,2,2,1,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,2,2,2,2,2,1,1,1,1,1,1,1,0,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,0,1,2,2,2,2,0,0,0,0,0,0,0,0
25790,0,2,1,1,1,2,1,1,0,1,1,0,2,2,0,1,1,1,1,2,0,0,1,1,1,0,0,1,2,1,1,0,1,1,0,2,1,1,2,0,2,2,0,1,1,1,0,2,0,1,0,1,1,2,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,0,0,1,1,1,1,1,2,2,2,2,2,2,2,0,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0
25791,0,2,1,1,1,2,1,1,0,1,1,0,2,0,0,1,1,1,1,2,0,0,1,1,1,1,0,1,2,1,1,0,1,1,0,2,1,1,2,0,2,2,0,1,1,1,0,2,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,2,2,2,2,2,2,0,2,2,2,0,2,2,0,2,2,2,2,2,0,0,0,0,2,2,2,2,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0
25792,0,1,2,2,2,1,2,2,0,2,2,0,1,1,0,2,2,2,2,1,0,0,2,2,2,2,0,2,1,2,2,0,2,2,0,1,2,2,1,0,1,1,0,2,2,2,0,1,2,2,1,2,2,1,0,0,2,2,2,2,2,2,2,0,2,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0
25793,0,2,1,1,1,2,1,1,0,1,1,0,2,2,0,1,1,1,1,2,0,0,1,1,1,1,0,1,2,1,1,0,1,1,0,2,1,1,2,0,2,2,0,1,1,1,0,2,1,1,0,1,1,2,0,0,1,1,1,1,1,1,1,0,1,2,2,2,2,2,2,0,2,2,2,0,2,2,0,2,2,2,2,2,0,0,2,0,2,2,2,2,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0
25794,0,2,1,1,1,2,1,1,0,1,1,0,2,2,0,1,1,1,1,2,0,0,1,1,1,1,0,1,2,1,1,0,1,1,0,2,1,1,2,0,2,2,0,1,1,1,0,2,1,1,0,1,1,2,0,0,1,1,1,1,1,1,1,0,1,2,2,2,2,2,2,0,2,2,2,0,2,2,0,2,2,2,2,2,0,0,2,0,2,2,2,2,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,0,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0
25795,0,2,1,1,1,2,1,1,0,1,1,0,2,2,0,1,1,1,1,2,0,0,1,1,1,1,0,1,2,1,1,0,1,1,0,2,1,1,2,0,2,2,0,1,1,1,0,2,1,1,0,1,0,2,0,0,1,1,1,1,1,1,1,0,1,2,2,2,2,2,2,0,2,2,2,0,2,2,0,2,2,2,2,2,0,0,2,0,2,2,2,2,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0
25796,0,2,1,1,1,2,1,1,0,1,1,0,2,2,0,1,1,1,1,2,0,0,1,1,1,1,0,1,2,1,1,0,1,1,0,2,1,1,2,0,2,2,0,1,1,1,0,2,1,1,0,1,0,2,0,0,1,1,1,1,1,1,1,0,1,2,2,2,2,2,2,0,2,2,2,0,2,2,0,2,2,2,2,0,0,0,2,0,2,2,2,2,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0
25797,0,1,2,2,2,1,2,2,0,2,2,0,1,1,0,2,2,2,2,1,0,0,2,2,2,2,0,2,1,2,2,0,2,2,0,1,2,2,1,0,1,1,0,2,2,2,0,1,2,2,1,2,0,1,0,0,2,2,2,2,2,2,2,0,2,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,2,1,0,1,1,1,1,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0
25798,0,2,1,1,1,2,1,1,0,1,1,0,2,2,0,1,1,1,1,2,0,0,1,1,1,1,0,1,2,1,1,0,1,1,0,2,1,1,2,0,2,2,0,1,1,1,0,2,1,1,0,1,0,2,0,0,1,1,1,1,1,1,1,0,1,2,2,2,2,2,2,0,2,2,2,0,2,2,0,2,2,2,2,2,0,1,2,0,2,2,2,2,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0
25799,0,2,1,1,1,2,1,1,0,1,1,0,2,2,0,1,1,1,1,2,0,0,1,1,1,0,0,1,2,1,1,0,1,1,0,2,1,1,2,0,2,2,0,1,1,1,0,2,1,1,0,1,0,2,0,0,1,1,1,1,1,1,1,0,1,2,2,2,2,2,2,0,2,2,2,0,2,2,0,2,2,2,2,2,0,1,2,0,2,2,2,2,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0
25800,0,2,1,1,1,2,1,1,0,1,1,0,2,2,0,1,1,1,1,2,0,0,1,1,1,1,0,1,2,1,1,0,1,1,0,2,1,1,2,0,2,2,0,1,1,1,0,2,1,1,0,1,0,2,0,0,1,1,1,1,1,1,1,0,1,2,2,2,2,2,2,0,2,2,2,0,2,2,0,2,2,2,2,2,0,1,0,0,2,2,2,2,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0
25801,0,2,1,1,1,2,1,1,0,1,1,0,2,2,0,1,1,1,1,2,0,0,1,1,1,1,0,1,2,1,1,0,1,1,0,2,1,1,2,0,2,2,0,1,1,1,0,2,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,2,2,2,2,1,2,0,2,2,2,0,2,2,0,2,2,2,0,2,0,1,0,0,0,2,2,2,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0
25802,0,1,2,2,2,1,2,2,0,2,2,0,1,1,0,2,2,2,2,1,0,0,2,2,2,2,0,2,1,2,2,0,2,2,0,1,2,2,1,0,1,1,0,2,2,2,0,1,2,2,1,2,2,1,0,0,2,2,0,2,2,2,2,0,3,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,2,1,0,0,1,1,1,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0
25803,0,1,2,2,0,1,2,2,0,2,2,0,1,1,0,2,2,2,2,1,0,0,2,2,2,2,0,0,1,2,2,0,2,2,0,1,2,2,1,0,1,1,0,2,2,2,0,1,2,2,1,2,2,1,0,0,2,2,2,2,2,2,2,0,2,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,2,1,0,0,1,1,1,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0
25804,0,1,2,2,0,1,2,2,0,2,2,0,1,1,0,2,2,2,2,1,0,0,2,2,2,2,0,2,1,2,2,0,2,2,0,1,2,2,1,0,1,1,0,2,2,2,0,1,2,2,0,2,2,1,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,2,1,0,0,1,1,1,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0
25805,0,2,1,1,1,2,1,1,0,1,1,0,2,2,0,1,1,1,1,2,0,0,1,1,1,1,0,1,2,1,1,0,1,1,0,2,1,1,2,0,2,2,0,1,1,1,0,2,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,0,1,2,0,2,2,2,2,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0
25806,0,2,1,1,1,2,1,1,0,1,1,0,2,2,0,1,1,1,1,2,0,0,1,1,1,1,0,1,2,1,1,0,1,1,0,2,1,1,2,0,2,2,0,1,1,1,0,2,1,1,0,1,1,2,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,0,1,2,0,2,2,2,2,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0
25807,0,2,1,1,1,2,1,1,0,1,1,0,2,2,0,1,1,1,1,2,0,0,1,1,1,1,0,1,2,1,1,0,1,1,0,2,1,1,2,0,2,2,0,1,1,1,0,2,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,0,1,2,0,2,2,2,2,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0
25808,0,2,1,1,1,2,1,1,0,1,1,0,2,2,0,1,1,1,1,2,0,0,1,1,1,1,0,1,2,1,1,0,1,1,0,2,1,1,2,0,2,2,0,1,1,1,0,2,1,1,0,1,1,2,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,0,1,2,0,2,2,2,2,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0
